symbol	logFC	AveExpr	t	P.Value	adj.P.Val	z.std
ENSG00000144445.17	KANSL1L	0.508030707954862	3.5323258899742	4.52655389851884	3.95054807355354e-05	0.306801497500676	4.11035294546082
ENSG00000227508.6	LINC01624	1.01204099873875	0.80614410761826	4.5287480325384	4.75022962686843e-05	0.306801497500676	4.06758788074386
ENSG00000230246.7	SPATA31C1	1.22527774929412	-1.97402739972848	4.60490092961227	3.24872749880918e-05	0.306801497500676	4.15529173553147
ENSG00000158270.12	COLEC12	1.15807678446294	3.10513041376605	4.20905444071728	9.70159320321086e-05	0.422234758895012	3.89793628616095
ENSG00000205794.4	AC098591.1	1.06128350038571	-1.63922374260022	4.34234578422554	0.000108958185098837	0.422234758895012	3.8697250002715
ENSG00000018280.17	SLC11A1	-0.732907692819607	8.62053319804004	-3.0677440367198	0.00360316084688821	0.560463302533894	-2.91096351884672
ENSG00000065320.9	NTN1	0.859968934503863	-0.804154967174818	3.03045348966051	0.00400943596852839	0.560463302533894	2.87741839589674
ENSG00000067064.11	IDI1	-0.541421185413853	7.13000879424343	-3.54594746328239	0.00102030093474231	0.560463302533894	-3.28486818415072
ENSG00000072571.20	HMMR	-1.37472235197722	0.711933384279429	-2.90607278400695	0.00523814667956919	0.560463302533894	-2.79201167060978
ENSG00000075624.15	ACTB	-0.424486984808085	13.0624725503426	-3.37119898704224	0.00149818964290201	0.560463302533894	-3.17503396393088
ENSG00000077721.16	UBE2A	-0.258038954430226	5.89686923667386	-2.84012896208347	0.00727486700768465	0.560463302533894	-2.68399281315007
ENSG00000082684.15	SEMA5B	1.04082247496026	0.0171613773758145	2.92632780364355	0.00554936844509683	0.560463302533894	2.77328389757897
ENSG00000088899.15	LZTS3	0.890471991490617	0.529748673392709	3.18818832538948	0.00256320450978224	0.560463302533894	3.01577847293286
ENSG00000091879.13	ANGPT2	0.41321453972628	1.72707766048178	2.90058585595909	0.00426298635986629	0.560463302533894	2.85801619325228
ENSG00000095587.9	TLL2	0.869666382933121	-1.67654864067462	3.18382447524167	0.00266535351284311	0.560463302533894	3.00390863640935
ENSG00000099889.14	ARVCF	0.760767960347513	0.525751641663254	3.02890831144536	0.00420169354040641	0.560463302533894	2.86260851555292
ENSG00000100360.15	IFT27	0.31978809624238	3.51077644242475	3.06400291904736	0.00377051554403027	0.560463302533894	2.89674878151669
ENSG00000100852.13	ARHGAP5	0.489055496834408	5.88204378967483	2.88454266777219	0.00598155894800315	0.560463302533894	2.74879058044547
ENSG00000101298.15	SNPH	0.925606307054049	0.770431662405286	3.15926653517043	0.00284163232356943	0.560463302533894	2.98436966696421
ENSG00000101384.12	JAG1	0.847744868383167	3.33722394792111	3.37210883848965	0.00153089189404117	0.560463302533894	3.16876296861415
ENSG00000101752.11	MIB1	0.354901664388418	3.88275697982619	2.81918409089796	0.00745165375739118	0.560463302533894	2.67595550370673
ENSG00000102854.16	MSLN	-0.960339880336844	4.391410002581	-3.02146883904991	0.00398665356336459	0.560463302533894	-2.87921586276116
ENSG00000102904.14	TSNAXIP1	0.882773198397227	0.686615243281471	2.93025402968977	0.00565330937765593	0.560463302533894	2.76724014845446
ENSG00000103034.14	NDRG4	1.0934975906409	1.13949068347588	2.88395111337551	0.00546601078400449	0.560463302533894	2.77820507866278
ENSG00000104976.12	SNAPC2	-0.414858032027353	3.28728507496933	-3.51929649110531	0.000912217403690923	0.560463302533894	-3.31628808685234
ENSG00000105011.9	ASF1B	-0.816144689804257	2.04491124400315	-3.28045872023114	0.00172756570921824	0.560463302533894	-3.13346321500008
ENSG00000105700.11	KXD1	-0.29079831297346	5.49871286233245	-3.52556845665502	0.00103830973320067	0.560463302533894	-3.2799350877969
ENSG00000106526.10	ACTR3C	0.546319312454408	1.15061226951711	3.15940537167506	0.00303352126041547	0.560463302533894	2.96432053618491
ENSG00000109519.13	GRPEL1	-0.448648810146709	5.55834354713555	-3.26273102851852	0.00209635923752358	0.560463302533894	-3.07623020586176
ENSG00000109534.17	GAR1	-0.35092420926703	2.14200981726011	-2.84636881745231	0.00653962957068705	0.560463302533894	-2.7194210941842
ENSG00000110723.12	EXPH5	0.559619410672284	2.78411509983155	3.30624473204376	0.00215450651023499	0.560463302533894	3.06806374907726
ENSG00000111669.15	TPI1	-0.507131154385085	9.19537937304716	-3.32490709484997	0.00163385309285002	0.560463302533894	-3.14979456165709
ENSG00000112139.16	MDGA1	0.976556188731696	-1.48598566762573	3.01718661394228	0.00434252063006027	0.560463302533894	2.85214559083731
ENSG00000113318.10	MSH3	0.311451793854012	4.75433957707351	2.89533261477866	0.0061430326239442	0.560463302533894	2.74004738981193
ENSG00000114331.14	ACAP2	0.275831759887236	6.75176126555542	2.96556606766996	0.00468897227490114	0.560463302533894	2.8276590070075
ENSG00000115041.13	KCNIP3	1.3519466571827	-1.36139260092234	3.621871115761	0.000920142370301755	0.560463302533894	3.31387012136237
ENSG00000116652.6	DLEU2L	0.541278874847775	0.48836401899854	3.08129142522604	0.00243973583488192	0.560463302533894	3.03071727078049
ENSG00000116670.15	MAD2L2	-0.416983246438094	4.60146004509293	-3.03307567986908	0.00382155680626107	0.560463302533894	-2.89252753697109
ENSG00000116985.12	BMP8B	0.968302683897131	-0.600670142210298	3.47808429070867	0.00100918361568773	0.560463302533894	3.28795390449519
ENSG00000117016.10	RIMS3	0.76434567607298	1.92446495420087	3.22515167446528	0.00235663681187229	0.560463302533894	3.0411662344303
ENSG00000117399.14	CDC20	-1.9653000041128	-0.179556138119233	-3.19495214389855	0.00235041459950313	0.560463302533894	-3.04196213399913
